Name,Progress,Project Tasks
Requirement Analysis,1,Analyze & Understand the Requirements (https://www.notion.so/Analyze-Understand-the-Requirements-2422bfc324d9802f897bd540f862ccc4?pvs=21)
Design Data Architecture,1,"Choose Data Management Approach (https://www.notion.so/Choose-Data-Management-Approach-2422bfc324d980cd8114d8f06c2f695f?pvs=21), Brainstorm and design the layer (https://www.notion.so/Brainstorm-and-design-the-layer-2422bfc324d980e5bb2cee6a3652bc45?pvs=21), Draw the Data Architecture (Draw.io) (https://www.notion.so/Draw-the-Data-Architecture-Draw-io-2422bfc324d980f082c0dc871721bba4?pvs=21)"
Project Initialization,1,"Create Git Repo to create the structure (https://www.notion.so/Create-Git-Repo-to-create-the-structure-2422bfc324d980b79459e748836b3422?pvs=21), Create DB and Schemas (https://www.notion.so/Create-DB-and-Schemas-2422bfc324d98033a2c0c453675f44ce?pvs=21), Create Detailed Project Tasks (Notion) (https://www.notion.so/Create-Detailed-Project-Tasks-Notion-2422bfc324d980d086e2e162bf131ca8?pvs=21), Define Project Naming Conventions (https://www.notion.so/Define-Project-Naming-Conventions-2422bfc324d9807aac82d503828c2a31?pvs=21)"
Bronze Layer,1,"Analysing: Source Systems  (https://www.notion.so/Analysing-Source-Systems-2432bfc324d9808ea473fd7c43c03d87?pvs=21), Coding: Data Ingestion (https://www.notion.so/Coding-Data-Ingestion-2432bfc324d980529ed8cb3dd5c2ed2a?pvs=21), Validating: Data Completeness & Schema Checks (https://www.notion.so/Validating-Data-Completeness-Schema-Checks-2432bfc324d9800d8975ebccf524f32d?pvs=21), Document: Draw Data Flow (Draw.io) (https://www.notion.so/Document-Draw-Data-Flow-Draw-io-2432bfc324d980a3bcafdf71ea8c3b7d?pvs=21), Commit Code in Git Repo (https://www.notion.so/Commit-Code-in-Git-Repo-2432bfc324d9809e877cde92ec5865df?pvs=21)"
Silver Layer,1,"Analysing: Explore & Understand Data (https://www.notion.so/Analysing-Explore-Understand-Data-2432bfc324d9802085cec8b8ae7f40d2?pvs=21), Coding: Data Cleansing (https://www.notion.so/Coding-Data-Cleansing-2432bfc324d9808ba2acfd386c03a135?pvs=21), Validating: Data Correctness Checks (https://www.notion.so/Validating-Data-Correctness-Checks-2432bfc324d98005bf49d1c835ba86ba?pvs=21), Document & Versioning in GIT  (https://www.notion.so/Document-Versioning-in-GIT-2432bfc324d98007bc1ef1b3396f4de1?pvs=21), Commit Code in Git Repo  (https://www.notion.so/Commit-Code-in-Git-Repo-2432bfc324d980d89a0cee86f13412cc?pvs=21), Document: Draw Data Integration (https://www.notion.so/Document-Draw-Data-Integration-2492bfc324d98067a4f9eb130bfe02e7?pvs=21)"
Gold Layer,1,"Analysing: Explore Business Objects (https://www.notion.so/Analysing-Explore-Business-Objects-2432bfc324d980a1aff5d8027ade5323?pvs=21), Coding: Data Integration (https://www.notion.so/Coding-Data-Integration-2432bfc324d9806989e7f7350cd7666f?pvs=21), Validating: Data Integration Checks  (https://www.notion.so/Validating-Data-Integration-Checks-2432bfc324d9804fb142e03404456ed1?pvs=21), Document: Draw Data Model of Star Schema (Draw.io) (https://www.notion.so/Document-Draw-Data-Model-of-Star-Schema-Draw-io-2432bfc324d980c5bc1bdaf4a985b3b9?pvs=21), Document: Create Data Catalog (https://www.notion.so/Document-Create-Data-Catalog-2432bfc324d980d9824ce3c83148567c?pvs=21), Document: Extend Data Flow (Draw.io) (https://www.notion.so/Document-Extend-Data-Flow-Draw-io-24f2bfc324d9807ca4f8eac58caf7af6?pvs=21), Commit code to Git Repo (https://www.notion.so/Commit-code-to-Git-Repo-24f2bfc324d9805c9872ced1842bb3bb?pvs=21)"
